squad,season_start_year,season_end_year,points,goals_for,goals_against,points_home,goals_for_home,goals_against_home,points_away,goals_for_away,goals_against_away
West Brom,2020,2021,26,35.0,76.0,15,15.0,39.0,11,20.0,37.0
Leicester,2020,2021,66,68.0,50.0,28,34.0,30.0,38,34.0,20.0
Tottenham,2020,2021,62,68.0,45.0,33,35.0,20.0,29,33.0,25.0
Everton,2020,2021,59,47.0,48.0,22,24.0,28.0,37,23.0,20.0
Sheffield Utd,2020,2021,23,20.0,63.0,16,12.0,27.0,7,8.0,36.0
Wolves,2020,2021,45,36.0,52.0,25,21.0,25.0,20,15.0,27.0
Brighton,2020,2021,41,40.0,46.0,21,22.0,22.0,20,18.0,24.0
Chelsea,2020,2021,67,58.0,36.0,33,31.0,18.0,34,27.0,18.0
Manchester Utd,2020,2021,74,73.0,44.0,31,38.0,28.0,43,35.0,16.0
Burnley,2020,2021,39,33.0,55.0,18,14.0,27.0,21,19.0,28.0
Aston Villa,2020,2021,55,55.0,46.0,25,29.0,27.0,30,26.0,19.0
Manchester City,2020,2021,86,83.0,32.0,41,43.0,17.0,45,40.0,15.0
Brentford,2021,2022,46,48.0,56.0,24,22.0,21.0,22,26.0,35.0
Arsenal,2021,2022,69,61.0,48.0,41,35.0,17.0,28,26.0,31.0
Manchester Utd,2021,2022,58,57.0,57.0,35,32.0,22.0,23,25.0,35.0
Leeds,2021,2022,38,42.0,79.0,18,19.0,38.0,20,23.0,41.0
Leicester,2021,2022,52,62.0,59.0,34,34.0,23.0,18,28.0,36.0
Wolves,2021,2022,51,38.0,43.0,24,20.0,25.0,27,18.0,18.0
Burnley,2021,2022,35,34.0,53.0,21,18.0,25.0,14,16.0,28.0
Brighton,2021,2022,51,42.0,44.0,22,19.0,23.0,29,23.0,21.0
Watford,2021,2022,23,34.0,77.0,8,17.0,46.0,15,17.0,31.0
Aston Villa,2021,2022,45,52.0,54.0,23,29.0,29.0,22,23.0,25.0
Everton,2021,2022,39,43.0,66.0,29,27.0,25.0,10,16.0,41.0
Southampton,2021,2022,40,43.0,67.0,25,23.0,24.0,15,20.0,43.0
Chelsea,2021,2022,74,76.0,33.0,34,37.0,22.0,40,39.0,11.0
Crystal Palace,2021,2022,48,50.0,46.0,29,27.0,17.0,19,23.0,29.0
Norwich,2021,2022,22,23.0,84.0,12,12.0,43.0,10,11.0,41.0
Liverpool,2021,2022,92,94.0,26.0,49,49.0,9.0,43,45.0,17.0
Newcastle,2021,2022,49,44.0,62.0,30,26.0,27.0,19,18.0,35.0
West Ham,2021,2022,56,60.0,51.0,32,33.0,26.0,24,27.0,25.0
Tottenham,2021,2022,71,69.0,40.0,40,38.0,19.0,31,31.0,21.0
