squad,season_start_year,season_end_year,points,goals_for,goals_against,points_home,goals_for_home,goals_against_home,points_away,goals_for_away,goals_against_away
Mainz,2021,2022,46,50.0,45.0,35,33.0,11.0,11,17.0,34.0
RB Leipzig,2021,2022,58,72.0,37.0,35,43.0,17.0,23,29.0,20.0
FC Koln,2021,2022,52,52.0,49.0,31,27.0,21.0,21,25.0,28.0
Hertha Berlin,2021,2022,33,37.0,71.0,21,24.0,33.0,12,13.0,38.0
Eintracht Frankfurt,2022,2023,50,58.0,52.0,32,35.0,18.0,18,23.0,34.0
Bayern Munich,2022,2023,71,92.0,38.0,38,53.0,17.0,33,39.0,21.0
Wolfsburg,2022,2023,49,57.0,48.0,25,34.0,25.0,24,23.0,23.0
Werder Bremen,2022,2023,36,51.0,64.0,17,26.0,28.0,19,25.0,36.0
Union Berlin,2022,2023,62,51.0,38.0,39,30.0,11.0,23,21.0,27.0
Hertha Berlin,2022,2023,29,42.0,69.0,21,24.0,27.0,8,18.0,42.0
Bochum,2022,2023,35,40.0,72.0,26,28.0,32.0,9,12.0,40.0
Mainz,2022,2023,46,54.0,55.0,24,31.0,25.0,22,23.0,30.0
B. Monchengladbach,2022,2023,43,52.0,55.0,33,33.0,18.0,10,19.0,37.0
Hoffenheim,2022,2023,36,48.0,57.0,23,28.0,29.0,13,20.0,28.0
Augsburg,2022,2023,34,42.0,63.0,22,16.0,24.0,12,26.0,39.0
Freiburg,2022,2023,59,51.0,44.0,34,28.0,13.0,25,23.0,31.0
Dortmund,2022,2023,71,83.0,44.0,44,55.0,17.0,27,28.0,27.0
Bayer Leverkusen,2022,2023,50,57.0,49.0,27,35.0,23.0,23,22.0,26.0
Stuttgart,2022,2023,33,45.0,57.0,21,23.0,22.0,12,22.0,35.0
RB Leipzig,2022,2023,66,64.0,41.0,41,38.0,18.0,25,26.0,23.0
FC Koln,2022,2023,42,49.0,54.0,23,28.0,20.0,19,21.0,34.0
Schalke,2022,2023,31,35.0,71.0,20,23.0,36.0,11,12.0,35.0
Werder Bremen,2023,2024,31,,,18,,,13,,
Bayern Munich,2023,2024,63,,,37,,,26,,
Wolfsburg,2023,2024,28,,,16,,,12,,
Heidenheim,2023,2024,34,,,22,,,12,,
Augsburg,2023,2024,39,,,24,,,15,,
B. Monchengladbach,2023,2024,31,,,19,,,12,,
Stuttgart,2023,2024,63,,,36,,,27,,
Bochum,2023,2024,27,,,20,,,7,,
Bayer Leverkusen,2023,2024,79,,,41,,,38,,
RB Leipzig,2023,2024,56,,,33,,,23,,
Hoffenheim,2023,2024,36,,,16,,,20,,
Freiburg,2023,2024,39,,,20,,,19,,
Dortmund,2023,2024,56,,,26,,,30,,
FC Koln,2023,2024,22,,,12,,,10,,
Union Berlin,2023,2024,29,,,20,,,9,,
Mainz,2023,2024,26,,,19,,,7,,
Eintracht Frankfurt,2023,2024,42,,,25,,,17,,
Darmstadt,2023,2024,14,,,6,,,8,,
Monaco,2019,2020,40,44.0,44.0,26,29.0,22.0,14,15.0,22.0
Lyon,2019,2020,40,42.0,27.0,19,17.0,7.0,21,25.0,20.0
Marseille,2019,2020,56,41.0,29.0,28,21.0,14.0,28,20.0,15.0
Reims,2019,2020,41,26.0,21.0,22,12.0,7.0,19,14.0,14.0
Montpellier,2019,2020,40,35.0,34.0,32,26.0,10.0,8,9.0,24.0
Rennes,2019,2020,50,38.0,24.0,29,25.0,14.0,21,13.0,10.0
Angers,2019,2020,39,28.0,33.0,27,20.0,13.0,12,8.0,20.0
Bordeaux,2019,2020,37,40.0,34.0,17,19.0,12.0,20,21.0,22.0
Nice,2019,2020,41,41.0,38.0,28,28.0,20.0,13,13.0,18.0
Amiens,2019,2020,23,31.0,50.0,14,17.0,23.0,9,14.0,27.0
Dijon,2019,2020,30,27.0,37.0,24,20.0,15.0,6,7.0,22.0
St Etienne,2019,2020,30,29.0,45.0,18,15.0,18.0,12,14.0,27.0
Brest,2019,2020,34,34.0,37.0,24,21.0,11.0,10,13.0,26.0
Toulouse,2019,2020,13,22.0,58.0,9,11.0,24.0,4,11.0,34.0
Lille,2019,2020,49,35.0,27.0,35,24.0,9.0,14,11.0,18.0
Nantes,2019,2020,37,28.0,31.0,20,11.0,11.0,17,17.0,20.0
Strasbourg,2019,2020,38,32.0,32.0,24,22.0,14.0,14,10.0,18.0
Metz,2019,2020,34,27.0,35.0,19,18.0,17.0,15,9.0,18.0
PSG,2019,2020,68,75.0,24.0,37,44.0,11.0,31,31.0,13.0
Nimes,2019,2020,27,29.0,44.0,20,17.0,15.0,7,12.0,29.0
Bordeaux,2020,2021,45,42.0,56.0,25,19.0,21.0,20,23.0,35.0
Nantes,2020,2021,40,47.0,55.0,17,21.0,29.0,23,26.0,26.0
Dijon,2020,2021,21,25.0,73.0,9,8.0,31.0,12,17.0,42.0
Angers,2020,2021,44,40.0,58.0,21,20.0,27.0,23,20.0,31.0
Lille,2020,2021,83,64.0,23.0,37,28.0,11.0,46,36.0,12.0
Rennes,2020,2021,58,52.0,40.0,31,26.0,21.0,27,26.0,19.0
Monaco,2020,2021,78,76.0,42.0,41,43.0,21.0,37,33.0,21.0
Reims,2020,2021,42,42.0,50.0,20,16.0,21.0,22,26.0,29.0
Lorient,2020,2021,42,50.0,68.0,32,31.0,29.0,10,19.0,39.0
Strasbourg,2020,2021,42,49.0,58.0,17,21.0,29.0,25,28.0,29.0
Nimes,2020,2021,35,40.0,71.0,14,22.0,39.0,21,18.0,32.0
Brest,2020,2021,41,50.0,66.0,28,32.0,33.0,13,18.0,33.0
Nice,2020,2021,52,50.0,53.0,24,25.0,30.0,28,25.0,23.0
Lens,2020,2021,57,55.0,54.0,28,28.0,26.0,29,27.0,28.0
Lyon,2020,2021,76,81.0,43.0,36,42.0,23.0,40,39.0,20.0
Montpellier,2020,2021,54,60.0,62.0,25,34.0,35.0,29,26.0,27.0
St Etienne,2020,2021,46,42.0,54.0,21,20.0,29.0,25,22.0,25.0
Metz,2020,2021,47,44.0,48.0,20,19.0,26.0,27,25.0,22.0
Marseille,2020,2021,60,54.0,47.0,35,32.0,23.0,25,22.0,24.0
PSG,2020,2021,82,86.0,28.0,40,44.0,14.0,42,42.0,14.0
Monaco,2021,2022,69,65.0,40.0,40,38.0,16.0,29,27.0,24.0
Nantes,2021,2022,55,55.0,48.0,37,33.0,20.0,18,22.0,28.0
Lyon,2021,2022,62,66.0,51.0,38,42.0,25.0,24,24.0,26.0
Brest,2021,2022,48,49.0,57.0,25,28.0,29.0,23,21.0,28.0
Troyes,2021,2022,38,37.0,53.0,22,19.0,19.0,16,18.0,34.0
PSG,2021,2022,86,90.0,36.0,51,49.0,12.0,35,41.0,24.0
Rennes,2021,2022,66,82.0,40.0,43,50.0,13.0,23,32.0,27.0
Lens,2021,2022,62,62.0,48.0,34,35.0,20.0,28,27.0,28.0
St Etienne,2021,2022,32,42.0,77.0,18,24.0,38.0,14,18.0,39.0
Lorient,2021,2022,36,35.0,63.0,24,20.0,22.0,12,15.0,41.0
Bordeaux,2021,2022,31,52.0,91.0,16,25.0,33.0,15,27.0,58.0
Clermont,2021,2022,36,38.0,69.0,18,22.0,33.0,18,16.0,36.0
Strasbourg,2021,2022,63,60.0,43.0,38,36.0,18.0,25,24.0,25.0
Angers,2021,2022,41,44.0,55.0,26,23.0,23.0,15,21.0,32.0
Nice,2021,2022,67,52.0,36.0,34,27.0,21.0,33,25.0,15.0
Reims,2021,2022,46,43.0,44.0,21,25.0,23.0,25,18.0,21.0
Metz,2021,2022,31,35.0,69.0,16,21.0,31.0,15,14.0,38.0
Lille,2021,2022,55,48.0,48.0,29,24.0,22.0,26,24.0,26.0
Montpellier,2021,2022,43,49.0,61.0,26,27.0,26.0,17,22.0,35.0
Marseille,2021,2022,71,63.0,38.0,32,33.0,22.0,39,30.0,16.0
AC Ajaccio,2022,2023,26,23.0,74.0,15,10.0,30.0,11,13.0,44.0
Marseille,2022,2023,73,67.0,40.0,34,35.0,24.0,39,32.0,16.0
Auxerre,2022,2023,35,35.0,63.0,22,18.0,28.0,13,17.0,35.0
Lens,2022,2023,84,68.0,29.0,52,41.0,13.0,32,27.0,16.0
Brest,2022,2023,44,44.0,54.0,26,24.0,26.0,18,20.0,28.0
Rennes,2022,2023,68,69.0,39.0,45,43.0,14.0,23,26.0,25.0
Lorient,2022,2023,55,52.0,53.0,31,26.0,21.0,24,26.0,32.0
Strasbourg,2022,2023,40,51.0,59.0,22,25.0,26.0,18,26.0,33.0
Monaco,2022,2023,65,70.0,58.0,30,37.0,33.0,35,33.0,25.0
Toulouse,2022,2023,48,51.0,57.0,24,27.0,27.0,24,24.0,30.0
Nantes,2022,2023,36,37.0,55.0,23,20.0,26.0,13,17.0,29.0
Angers,2022,2023,18,33.0,81.0,12,20.0,36.0,6,13.0,45.0
Nice,2022,2023,58,48.0,37.0,28,24.0,18.0,30,24.0,19.0
Lyon,2022,2023,62,65.0,47.0,35,35.0,19.0,27,30.0,28.0
PSG,2022,2023,85,89.0,40.0,41,45.0,25.0,44,44.0,15.0
Clermont,2022,2023,59,45.0,49.0,30,20.0,28.0,29,25.0,21.0
Reims,2022,2023,51,45.0,45.0,30,28.0,23.0,21,17.0,22.0
Montpellier,2022,2023,50,65.0,62.0,24,29.0,29.0,26,36.0,33.0
Troyes,2022,2023,24,45.0,81.0,14,19.0,30.0,10,26.0,51.0
Lille,2022,2023,67,65.0,44.0,43,40.0,25.0,24,25.0,19.0
Nice,2023,2024,44,,,25,,,19,,
Lille,2023,2024,49,,,33,,,16,,
Marseille,2023,2024,39,,,29,,,10,,
Reims,2023,2024,40,,,21,,,19,,
PSG,2023,2024,63,,,29,,,34,,
Lorient,2023,2024,26,,,13,,,13,,
Brest,2023,2024,53,,,29,,,24,,
Lens,2023,2024,43,,,24,,,19,,
Montpellier,2023,2024,34,,,17,,,17,,
Le Havre,2023,2024,28,,,17,,,11,,
Nantes,2023,2024,31,,,12,,,19,,
Toulouse,2023,2024,36,,,15,,,21,,
Clermont,2023,2024,22,,,11,,,11,,
Monaco,2023,2024,52,,,24,,,28,,
Rennes,2023,2024,39,,,24,,,15,,
Metz,2023,2024,26,,,12,,,14,,
Strasbourg,2023,2024,36,,,21,,,15,,
Lyon,2023,2024,41,,,19,,,22,,
