time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2020-11-09 03:45:00,AC Milan,2,Verona,2,2020,2021,2020,ITA,0,11,9,3,45
2020-11-21 22:00:00,Crotone,0,Lazio,2,2020,2021,2020,ITA,5,11,21,22,0
2020-11-22 01:00:00,Spezia,0,Atalanta,0,2020,2021,2020,ITA,6,11,22,1,0
2020-11-22 03:45:00,Juventus,2,Cagliari,0,2020,2021,2020,ITA,6,11,22,3,45
2020-11-22 19:30:00,Fiorentina,0,Benevento,1,2020,2021,2020,ITA,6,11,22,19,30
2020-11-22 22:00:00,AS Roma,3,Parma,0,2020,2021,2020,ITA,6,11,22,22,0
2020-11-22 22:00:00,Sampdoria,1,Bologna,2,2020,2021,2020,ITA,6,11,22,22,0
2020-11-22 22:00:00,Verona,0,Sassuolo,2,2020,2021,2020,ITA,6,11,22,22,0
2020-11-22 22:00:00,Inter,4,Torino,2,2020,2021,2020,ITA,6,11,22,22,0
2020-11-23 01:00:00,Udinese,1,Genoa,0,2020,2021,2020,ITA,0,11,23,1,0
2020-11-23 03:45:00,Napoli,1,AC Milan,3,2020,2021,2020,ITA,0,11,23,3,45
2020-11-28 22:00:00,Sassuolo,0,Inter,3,2020,2021,2020,ITA,5,11,28,22,0
2020-11-29 01:00:00,Benevento,1,Juventus,1,2020,2021,2020,ITA,6,11,29,1,0
2020-11-29 03:45:00,Atalanta,0,Verona,2,2020,2021,2020,ITA,6,11,29,3,45
2020-11-29 19:30:00,Lazio,1,Udinese,3,2020,2021,2020,ITA,6,11,29,19,30
2020-11-29 22:00:00,Bologna,1,Crotone,0,2020,2021,2020,ITA,6,11,29,22,0
2020-11-29 22:00:00,AC Milan,2,Fiorentina,0,2020,2021,2020,ITA,6,11,29,22,0
2020-11-30 01:00:00,Cagliari,2,Spezia,2,2020,2021,2020,ITA,0,11,30,1,0
2020-11-30 03:45:00,Napoli,4,AS Roma,0,2020,2021,2020,ITA,0,11,30,3,45
2020-12-01 01:30:00,Torino,2,Sampdoria,2,2020,2021,2020,ITA,1,12,1,1,30
2020-12-01 03:45:00,Genoa,1,Parma,2,2020,2021,2020,ITA,1,12,1,3,45
2020-12-05 22:00:00,Spezia,1,Lazio,2,2020,2021,2020,ITA,5,12,5,22,0
2020-12-06 01:00:00,Juventus,2,Torino,1,2020,2021,2020,ITA,6,12,6,1,0
2020-12-06 03:45:00,Inter,3,Bologna,1,2020,2021,2020,ITA,6,12,6,3,45
2020-12-06 19:30:00,Verona,1,Cagliari,1,2020,2021,2020,ITA,6,12,6,19,30
2020-12-06 22:00:00,Parma,0,Benevento,0,2020,2021,2020,ITA,6,12,6,22,0
2020-12-06 22:00:00,AS Roma,0,Sassuolo,0,2020,2021,2020,ITA,6,12,6,22,0
2020-12-07 01:00:00,Crotone,0,Napoli,4,2020,2021,2020,ITA,0,12,7,1,0
2020-12-07 03:45:00,Sampdoria,1,AC Milan,2,2020,2021,2020,ITA,0,12,7,3,45
2020-12-08 03:45:00,Fiorentina,1,Genoa,1,2020,2021,2020,ITA,1,12,8,3,45
2020-12-12 03:45:00,Sassuolo,1,Benevento,0,2020,2021,2020,ITA,5,12,12,3,45
2020-12-12 22:00:00,Crotone,4,Spezia,1,2020,2021,2020,ITA,5,12,12,22,0
2020-12-13 01:00:00,Torino,2,Udinese,3,2020,2021,2020,ITA,6,12,13,1,0
2020-12-13 03:45:00,Lazio,1,Verona,2,2020,2021,2020,ITA,6,12,13,3,45
2020-12-13 19:30:00,Cagliari,1,Inter,3,2020,2021,2020,ITA,6,12,13,19,30
2020-12-13 22:00:00,Napoli,2,Sampdoria,1,2020,2021,2020,ITA,6,12,13,22,0
2020-12-13 22:00:00,Bologna,1,AS Roma,5,2020,2021,2020,ITA,6,12,13,22,0
2020-12-13 22:00:00,Atalanta,3,Fiorentina,0,2020,2021,2020,ITA,6,12,13,22,0
2020-12-14 01:00:00,Genoa,1,Juventus,3,2020,2021,2020,ITA,0,12,14,1,0
2020-12-14 03:45:00,AC Milan,2,Parma,2,2020,2021,2020,ITA,0,12,14,3,45
2020-12-16 01:30:00,Udinese,0,Crotone,0,2020,2021,2020,ITA,2,12,16,1,30
2020-12-16 03:45:00,Benevento,1,Lazio,1,2020,2021,2020,ITA,2,12,16,3,45
2020-12-17 01:30:00,Juventus,1,Atalanta,1,2020,2021,2020,ITA,3,12,17,1,30
2020-12-17 03:45:00,Verona,1,Sampdoria,2,2020,2021,2020,ITA,3,12,17,3,45
2020-12-17 03:45:00,Spezia,2,Bologna,2,2020,2021,2020,ITA,3,12,17,3,45
2020-12-17 03:45:00,Parma,0,Cagliari,0,2020,2021,2020,ITA,3,12,17,3,45
2020-12-17 03:45:00,Inter,1,Napoli,0,2020,2021,2020,ITA,3,12,17,3,45
2020-12-17 03:45:00,Genoa,2,AC Milan,2,2020,2021,2020,ITA,3,12,17,3,45
2020-12-17 03:45:00,Fiorentina,1,Sassuolo,1,2020,2021,2020,ITA,3,12,17,3,45
2020-12-18 03:45:00,AS Roma,3,Torino,1,2020,2021,2020,ITA,4,12,18,3,45
2020-12-19 22:00:00,Fiorentina,1,Verona,1,2020,2021,2020,ITA,5,12,19,22,0
2020-12-20 01:00:00,Sampdoria,3,Crotone,1,2020,2021,2020,ITA,6,12,20,1,0
2020-12-20 03:45:00,Parma,0,Juventus,4,2020,2021,2020,ITA,6,12,20,3,45
2020-12-20 19:30:00,Torino,1,Bologna,1,2020,2021,2020,ITA,6,12,20,19,30
2020-12-20 22:00:00,Sassuolo,1,AC Milan,2,2020,2021,2020,ITA,6,12,20,22,0
2020-12-20 22:00:00,Inter,2,Spezia,1,2020,2021,2020,ITA,6,12,20,22,0
2020-12-20 22:00:00,Cagliari,1,Udinese,1,2020,2021,2020,ITA,6,12,20,22,0
2020-12-20 22:00:00,Benevento,2,Genoa,0,2020,2021,2020,ITA,6,12,20,22,0
2020-12-21 01:00:00,Atalanta,4,AS Roma,1,2020,2021,2020,ITA,0,12,21,1,0
2020-12-21 03:45:00,Lazio,2,Napoli,0,2020,2021,2020,ITA,0,12,21,3,45
2020-12-23 01:30:00,Crotone,2,Parma,1,2020,2021,2020,ITA,2,12,23,1,30
2020-12-23 03:45:00,Juventus,0,Fiorentina,3,2020,2021,2020,ITA,2,12,23,3,45
2020-12-24 01:30:00,Verona,1,Inter,2,2020,2021,2020,ITA,3,12,24,1,30
2020-12-24 03:45:00,AC Milan,3,Lazio,2,2020,2021,2020,ITA,3,12,24,3,45
2020-12-24 03:45:00,AS Roma,3,Cagliari,2,2020,2021,2020,ITA,3,12,24,3,45
2020-12-24 03:45:00,Bologna,2,Atalanta,2,2020,2021,2020,ITA,3,12,24,3,45
2020-12-24 03:45:00,Udinese,0,Benevento,2,2020,2021,2020,ITA,3,12,24,3,45
2020-12-24 03:45:00,Sampdoria,2,Sassuolo,3,2020,2021,2020,ITA,3,12,24,3,45
2020-12-24 03:45:00,Spezia,1,Genoa,2,2020,2021,2020,ITA,3,12,24,3,45
2020-12-24 03:45:00,Napoli,1,Torino,1,2020,2021,2020,ITA,3,12,24,3,45
2021-01-03 19:30:00,Inter,6,Crotone,2,2020,2021,2021,ITA,6,1,3,19,30
2021-01-03 22:00:00,AS Roma,1,Sampdoria,0,2020,2021,2021,ITA,6,1,3,22,0
2021-01-03 22:00:00,Fiorentina,0,Bologna,0,2020,2021,2021,ITA,6,1,3,22,0
2021-01-03 22:00:00,Atalanta,5,Sassuolo,1,2020,2021,2021,ITA,6,1,3,22,0
2021-01-03 22:00:00,Cagliari,1,Napoli,4,2020,2021,2021,ITA,6,1,3,22,0
2021-01-03 22:00:00,Spezia,0,Verona,1,2020,2021,2021,ITA,6,1,3,22,0
2021-01-03 22:00:00,Genoa,1,Lazio,1,2020,2021,2021,ITA,6,1,3,22,0
2021-01-03 22:00:00,Parma,0,Torino,3,2020,2021,2021,ITA,6,1,3,22,0
2021-01-04 01:00:00,Benevento,0,AC Milan,2,2020,2021,2021,ITA,0,1,4,1,0
2021-01-04 03:45:00,Juventus,4,Udinese,1,2020,2021,2021,ITA,0,1,4,3,45
2021-01-06 19:30:00,Cagliari,1,Benevento,2,2020,2021,2021,ITA,2,1,6,19,30
2021-01-06 22:00:00,Atalanta,3,Parma,0,2020,2021,2021,ITA,2,1,6,22,0
2021-01-06 22:00:00,Crotone,1,AS Roma,3,2020,2021,2021,ITA,2,1,6,22,0
2021-01-06 22:00:00,Bologna,2,Udinese,2,2020,2021,2021,ITA,2,1,6,22,0
2021-01-06 22:00:00,Sampdoria,2,Inter,1,2020,2021,2021,ITA,2,1,6,22,0
2021-01-06 22:00:00,Sassuolo,2,Genoa,1,2020,2021,2021,ITA,2,1,6,22,0
2021-01-06 22:00:00,Torino,1,Verona,1,2020,2021,2021,ITA,2,1,6,22,0
2021-01-06 22:00:00,Lazio,2,Fiorentina,1,2020,2021,2021,ITA,2,1,6,22,0
2021-01-07 01:00:00,Napoli,1,Spezia,2,2020,2021,2021,ITA,3,1,7,1,0
2021-01-07 03:45:00,AC Milan,1,Juventus,3,2020,2021,2021,ITA,3,1,7,3,45
2021-01-09 22:00:00,Benevento,1,Atalanta,4,2020,2021,2021,ITA,5,1,9,22,0
2021-01-10 01:00:00,Genoa,2,Bologna,0,2020,2021,2021,ITA,6,1,10,1,0
2021-01-10 03:45:00,AC Milan,2,Torino,0,2020,2021,2021,ITA,6,1,10,3,45
2021-01-10 19:30:00,AS Roma,2,Inter,2,2020,2021,2021,ITA,6,1,10,19,30
2021-01-10 22:00:00,Verona,2,Crotone,1,2020,2021,2021,ITA,6,1,10,22,0
2021-01-10 22:00:00,Udinese,1,Napoli,2,2020,2021,2021,ITA,6,1,10,22,0
2021-01-10 22:00:00,Parma,0,Lazio,2,2020,2021,2021,ITA,6,1,10,22,0
2021-01-11 01:00:00,Fiorentina,1,Cagliari,0,2020,2021,2021,ITA,0,1,11,1,0
2021-01-11 03:45:00,Juventus,3,Sassuolo,1,2020,2021,2021,ITA,0,1,11,3,45
2021-01-12 03:45:00,Spezia,2,Sampdoria,1,2020,2021,2021,ITA,1,1,12,3,45
2021-01-16 03:45:00,Lazio,3,AS Roma,0,2020,2021,2021,ITA,5,1,16,3,45
2021-01-16 22:00:00,Bologna,1,Verona,0,2020,2021,2021,ITA,5,1,16,22,0
2021-01-17 01:00:00,Torino,0,Spezia,0,2020,2021,2021,ITA,6,1,17,1,0
2021-01-17 03:45:00,Sampdoria,2,Udinese,1,2020,2021,2021,ITA,6,1,17,3,45
2021-01-17 19:30:00,Napoli,6,Fiorentina,0,2020,2021,2021,ITA,6,1,17,19,30
2021-01-17 22:00:00,Sassuolo,1,Parma,1,2020,2021,2021,ITA,6,1,17,22,0
